event_name,description,object_name,event_time,orbit_number,periap_time,event_data
CONST,Body Constants,BENNU,2020-335T00:00:01.000,0,+00000T00:04:10.964,{"event-data":" 0.000000000000000E+00 8.663880000000000E+01 0.000000000000000E+00 -6.510860000000000E+01 0.000000000000000E+00 8.964560000000000E+01 2.010489449467953E+03 2.460000000000000E-01 2.460000000000000E-01 2.460000000000000E-01 4.888932999740792E-09 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-335T00:25:37.498,0,+00000T00:33:03.755,{"event-data":" 5.270414633023274E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-335T04:58:57.269,0,+00000T05:00:46.809,{"event-data":" 1.944045017241509E+01 18:09:00 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-335T10:22:12.074,1,+00000T10:22:19.575,{"event-data":" 8.839296310305964E-01 1.339900311270349E-01 1.800000000000000E+02 1.201416571013720E+02 3.554725273654369E+02 2.580423061547759E+02 9.935175926841923E+01 1.609371000666893E+02 2.624822259206878E+02 3.418088060447124E+08 7.646102459394465E-01 7.467914969759826E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-335T11:15:47.060,1,+00000T11:11:31.041,{"event-data":" 7.571581972533109E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-335T17:07:46.969,1,+00000T17:25:00.900,{"event-data":" 2.606348106526549E+02 06:06:36 "}
PERIAP,Periapsis,BENNU,2020-335T20:52:49.642,1,+00000T00:00:00.000,{"event-data":" 8.781017364608565E-01 1.175370284556044E-01 0.000000000000000E+00 1.195226728626896E+02 3.558511647452711E+02 2.586870276484655E+02 9.692147145665349E+01 3.425817173498028E+02 8.078087902204255E+01 3.418194384530615E+08 5.278706273250285E-01 1.029045575822327E+02 1.780538803982569E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-335T21:23:46.702,1,+00000T00:34:51.649,{"event-data":" 5.260826925825617E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-336T01:57:10.966,1,+00000T05:02:35.266,{"event-data":" 6.173915110000916E+01 18:09:24 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-336T07:18:03.880,2,+00000T10:21:42.896,{"event-data":" 8.833506765928929E-01 1.345249722889760E-01 1.800000000000000E+02 1.202125351945286E+02 3.559264398959486E+02 2.576387598533205E+02 1.000278831577843E+02 2.080604206518904E+02 2.623177862845819E+02 3.418282494099507E+08 7.637176289746955E-01 7.460579191570732E+04 "}
